output_area,ethnicity,0,15,30,65
157200,European,94,60,63,8
157300,European,99,113,171,29
157400,European,416,307,991,293
157500,European,102,99,163,39
157600,European,15,131,313,28
157700,European,169,121,139,33
157800,European,156,131,292,57
157900,European,179,140,265,73
158000,European,84,73,188,270
158100,European,154,188,203,29
158200,European,106,115,186,17
158300,European,157,155,285,81
158400,European,152,122,157,183
158500,European,205,195,451,136
158600,European,39,37,62,11
158700,European,162,120,182,30
158800,European,176,124,166,47
158900,European,120,148,336,92
159000,European,183,170,394,124
159100,European,140,140,254,93
159200,European,242,187,310,90
159300,European,360,352,839,269
159400,European,209,157,533,219
159500,European,157,120,169,37
159600,European,209,181,468,165
159700,European,101,70,67,18
159800,European,258,186,643,183
159900,European,195,119,190,32
160000,European,226,150,280,76
160100,European,151,164,318,170
160200,European,326,207,379,71
160300,European,250,222,544,214
160400,European,206,228,542,409
160500,European,178,142,235,70
160600,European,231,194,337,135
160700,European,257,208,467,198
160800,European,137,127,236,97
160900,European,221,180,345,122
161000,European,138,127,212,69
161100,European,423,319,874,490
161200,European,153,110,161,49
161300,European,182,157,197,25
161400,European,460,339,1102,328
161500,European,220,193,556,293
161600,European,150,145,303,129
161800,European,259,326,794,294
161900,European,212,167,391,132
162000,European,162,128,218,105
162100,European,270,297,495,62
162200,European,65,73,183,253
162300,European,197,167,476,146
162400,European,312,254,869,268
162500,European,229,181,551,412
162600,European,127,144,211,24
162700,European,266,227,767,308
162800,European,136,150,381,304
162900,European,255,222,631,194
163000,European,454,362,769,233
163100,European,378,414,883,328
163200,European,281,286,641,332
163300,European,261,237,445,131
163400,European,271,125,484,113
163500,European,355,288,458,113
163600,European,235,225,369,110
163700,European,385,312,700,212
163900,European,238,197,443,120
164000,European,371,371,770,206
164200,European,247,220,496,162
164300,European,137,159,349,104
164400,European,325,289,733,421
164500,European,352,279,719,333
164600,European,321,340,963,337
164700,European,241,181,391,145
164800,European,319,245,561,170
164900,European,173,143,467,120
165000,European,217,223,492,165
165100,European,287,268,776,235
165200,European,283,174,602,139
165300,European,501,429,923,442
165400,European,380,218,716,665
165500,European,573,477,1031,359
165600,European,293,188,546,113
165700,European,240,235,519,453
165800,European,435,314,817,235
165900,European,324,286,686,425
166100,European,217,201,476,260
166200,European,190,169,375,145
166300,European,318,231,739,247
166400,European,404,232,994,198
166500,European,145,119,542,319
166700,European,176,156,632,464
166900,European,193,151,670,441
167000,European,205,147,617,396
167100,European,534,449,1452,1065
167200,European,156,123,572,507
167300,European,55,55,216,163
167400,European,187,261,656,309
167500,European,98,68,236,111
167600,European,191,133,586,676
167700,European,62,73,292,336
167800,European,384,285,910,795
168000,European,117,92,255,190
168100,European,167,114,561,480
168200,European,83,77,367,447
168300,European,171,128,414,152
168400,European,53,42,169,132
168500,European,468,302,1352,1358
168600,European,83,73,284,185
168700,European,180,162,411,162
168800,European,244,181,514,165
168900,European,230,175,446,323
169000,European,266,196,478,136
169100,European,273,195,683,242
169200,European,425,352,1037,1003
169300,European,317,223,817,360
169400,European,164,146,446,472
169500,European,173,149,427,286
169600,European,230,209,645,513
169700,European,525,457,1210,346
169800,European,224,129,361,83
169900,European,237,204,579,182
170000,European,490,374,774,251
170100,European,260,167,601,144
170200,European,263,196,651,169
170300,European,230,210,412,143
170400,European,80,70,225,80
170500,European,386,268,762,142
170600,European,246,179,601,127
170700,European,255,171,546,158
170900,European,296,214,768,211
171100,European,237,149,416,362
171200,European,340,245,768,224
171300,European,162,114,368,92
171400,European,264,166,310,147
171500,European,478,408,989,541
171600,European,490,341,1207,430
171700,European,396,264,696,124
171900,European,327,256,716,193
172000,European,187,134,237,66
172100,European,348,286,543,160
172200,European,295,175,386,106
172300,European,319,226,611,149
172400,European,426,239,793,276
172500,European,106,47,210,41
172600,European,97,75,186,34
172700,European,125,91,263,67
172800,European,461,292,1053,251
172900,European,164,159,398,108
173000,European,335,228,584,148
173100,European,432,285,869,183
173200,European,745,452,1468,672
173300,European,403,303,868,228
173400,European,364,262,817,262
173500,European,312,210,599,163
173600,European,241,202,483,153
173700,European,270,210,479,131
173800,European,329,295,665,192
173900,European,691,633,1527,943
174000,European,424,400,786,426
174100,European,332,227,702,520
174200,European,275,205,626,486
174300,European,196,158,431,169
174400,European,171,160,402,115
174500,European,195,217,463,127
174600,European,187,157,448,122
174700,European,254,180,412,124
174800,European,192,170,440,159
174900,European,390,362,899,834
175000,European,619,559,1334,1096
175100,European,163,117,291,57
175300,European,492,340,799,138
175400,European,69,83,168,61
175500,European,463,269,804,139
175600,European,122,81,149,30
175700,European,348,294,627,147
175800,European,505,368,1063,774
175900,European,741,491,1237,343
176000,European,353,342,786,226
176100,European,477,411,836,188
176200,European,594,458,1212,655
176400,European,389,347,710,201
176500,European,267,281,778,451
176600,European,322,327,773,335
176700,European,335,203,551,137
