geography,Method of Travel to Work: Drive_a_private_car_truck_or_van; measures: Value,Method of Travel to Work: Drive_a_company_car_truck_or_van; measures: Value,Method of Travel to Work: Passenger_in_a_car_truck_van_or_company_bus; measures: Value,Method of Travel to Work: Public_bus; measures: Value,Method of Travel to Work: Train; measures: Value,Method of Travel to Work: Bicycle; measures: Value,Method of Travel to Work: Ferry; measures: Value,Method of Travel to Work: Other; measures: Value,Method of Travel to Work: Total; measures: Value,date,geography code,Rural Urban
125000,498,18,9,0,27,0,0,0,843,2018,125000,Total
125200,921,78,0,294,0,0,12,0,1926,2018,125200,Total
125300,522,45,0,45,0,0,0,0,978,2018,125300,Total
125400,492,48,0,150,0,0,0,0,1095,2018,125400,Total
125500,432,27,6,96,0,0,0,0,1005,2018,125500,Total
125600,660,39,6,135,0,0,0,0,1275,2018,125600,Total
125700,366,12,6,15,0,0,0,0,717,2018,125700,Total
125800,660,60,0,153,0,0,0,0,1317,2018,125800,Total
125900,258,30,0,15,0,0,0,0,642,2018,125900,Total
126000,627,66,12,0,39,0,0,0,1119,2018,126000,Total
126100,432,27,9,0,60,0,0,0,849,2018,126100,Total
126200,822,63,9,192,0,9,0,0,1596,2018,126200,Total
126300,648,42,0,204,0,0,6,0,1335,2018,126300,Total
126400,690,69,6,45,0,0,0,0,1224,2018,126400,Total
126500,537,21,0,243,0,0,0,0,1203,2018,126500,Total
126600,663,33,0,303,0,0,0,0,1614,2018,126600,Total
126700,585,48,6,9,54,0,0,0,1125,2018,126700,Total
126800,330,30,0,63,0,0,0,0,924,2018,126800,Total
126900,1086,102,24,0,90,0,0,0,1743,2018,126900,Total
127000,888,117,6,87,0,0,0,0,1563,2018,127000,Total
127100,312,12,0,63,0,0,0,0,627,2018,127100,Total
127200,72,0,0,6,0,0,0,0,198,2018,127200,Total
127300,474,18,0,156,0,0,0,0,987,2018,127300,Total
127400,510,54,0,126,0,0,78,0,1299,2018,127400,Total
127500,57,0,0,0,0,0,0,0,153,2018,127500,Total
127600,342,54,0,0,6,0,0,0,750,2018,127600,Total
127700,642,39,0,36,0,0,0,0,1104,2018,127700,Total
127800,231,0,9,0,0,6,0,0,444,2018,127800,Total
127900,366,24,6,9,9,0,0,0,717,2018,127900,Total
128000,144,15,0,0,0,0,0,0,318,2018,128000,Total
128100,393,39,0,96,0,0,0,0,903,2018,128100,Total
128200,639,45,0,156,0,0,33,0,1347,2018,128200,Total
128300,777,60,12,6,60,0,0,0,1278,2018,128300,Total
128400,453,21,0,0,15,6,0,0,873,2018,128400,Total
128500,732,48,9,30,15,0,0,0,1257,2018,128500,Total
128600,171,6,0,45,0,0,0,0,510,2018,128600,Total
128800,804,42,6,198,0,6,24,0,1698,2018,128800,Total
