area,socioeconomic_centile,super_area
206900,7.0,5
207000,10.0,5
207100,10.0,5
207200,10.0,5
207300,2.0,5
207400,10.0,6
207600,8.0,6
207700,9.0,6
207800,10.0,6
207900,10.0,6
208000,5.0,6
208100,2.0,6
208200,2.0,6
208300,2.0,6
208400,7.0,6
208500,8.0,6
208600,4.0,6
208700,4.0,6
208800,10.0,6
209000,10.0,6
209100,10.0,6
209200,10.0,6
209400,4.0,6
209500,10.0,6
209600,5.0,6
209700,8.0,6
209800,7.0,6
209900,9.0,6
210000,8.0,6
210200,5.0,6
210300,8.0,6
210400,6.0,6
210500,9.0,6
210600,7.0,6
210700,9.0,6
210800,9.0,6
210900,10.0,6
211000,8.0,6
211100,6.0,6
211200,1.0,6
211300,5.0,6
211400,9.0,6
211500,4.0,6
211700,1.0,6
211800,2.0,6
211900,1.0,6
212000,1.0,6
212100,1.0,6
212200,4.0,6
212300,2.0,6
212400,1.0,6
212500,1.0,6
212600,6.0,6
212800,7.0,6
212900,5.0,6
213000,1.0,6
213100,1.0,6
213200,4.0,6
213300,4.0,6
213400,3.0,6
213500,8.0,6
213600,9.0,6
213700,4.0,6
213800,8.0,6
213900,7.0,6
214000,4.0,6
214100,6.0,6
214200,7.0,6
214400,7.0,6
214500,8.0,6
214600,5.0,6
214700,7.0,6
214800,10.0,6
214900,6.0,6
215000,10.0,6
215100,10.0,6
215200,7.0,6
215300,10.0,6
215400,3.0,6
215500,5.0,6
215600,6.0,6
215700,7.0,6
215800,8.0,6
215900,5.0,6
216000,7.0,6
216100,5.0,6
216300,8.0,7
216400,2.0,7
216500,2.0,7
216600,7.0,7
216700,4.0,7
216800,8.0,7
216900,7.0,7
217000,8.0,7
217100,10.0,7
217200,3.0,7
217300,4.0,7
217400,8.0,7
217500,6.0,7
217600,4.0,7
217800,7.0,7
217900,4.0,7
218000,5.0,7
218100,7.0,7
218200,1.0,7
218300,7.0,7
218400,5.0,7
218500,10.0,7
218600,5.0,7
218700,1.0,7
218800,1.0,7
218900,9.0,7
219000,4.0,7
219100,2.0,7
219200,7.0,7
219300,2.0,7
219400,4.0,7
219500,4.0,7
219600,6.0,7
219700,6.0,7
219800,5.0,7
219900,7.0,7
220000,5.0,7
220100,7.0,7
220300,8.0,7
220400,9.0,7
220500,8.0,7
220600,6.0,7
220700,9.0,7
220800,8.0,7
220900,9.0,7
221000,9.0,7
221100,6.0,7
221200,5.0,7
221300,4.0,7
221400,6.0,7
221500,5.0,7
221600,7.0,7
221700,9.0,7
221800,8.0,7
221900,9.0,7
222000,6.0,7
222100,9.0,7
222200,10.0,7
222300,8.0,8
222400,8.0,8
222500,9.0,8
222600,10.0,8
222700,10.0,8
222800,6.0,8
222900,6.0,8
223000,10.0,8
223100,8.0,8
223200,7.0,8
223300,9.0,8
223400,3.0,8
223500,3.0,8
223600,10.0,8
223700,2.0,8
223800,10.0,8
224000,10.0,8
224100,5.0,8
224200,5.0,8
224300,10.0,8
224400,6.0,8
224500,6.0,8
224600,9.0,8
224800,10.0,8
224900,10.0,8
225000,7.0,8
225100,9.0,8
225200,10.0,8
225300,9.0,8
225400,10.0,8
225500,9.0,8
225600,6.0,8
225700,9.0,8
225800,8.0,8
225900,5.0,8
226000,5.0,8
226100,5.0,8
226300,8.0,8
226400,7.0,8
226500,8.0,8
226600,5.0,8
226700,8.0,8
226800,6.0,8
226900,9.0,8
227000,7.0,8
227100,6.0,8
227200,3.0,8
227300,6.0,8
227400,8.0,8
227500,5.0,8
227600,3.0,8
227700,1.0,8
227800,4.0,8
227900,7.0,8
228000,3.0,8
228100,6.0,8
228200,7.0,8
228300,8.0,8
228400,9.0,8
228500,6.0,8
228600,3.0,8
228700,1.0,8
228800,5.0,8
229000,4.0,8
229100,6.0,8
229200,10.0,8
229300,7.0,8
229400,2.0,8
229500,9.0,8
229600,8.0,8
229800,6.0,8
229900,10.0,8
230000,8.0,8
230100,7.0,8
230200,9.0,8
230300,7.0,8
230400,1.0,8
230500,9.0,8
230600,10.0,8
230700,9.0,8
230800,9.0,8
230900,2.0,8
231000,8.0,8
231100,1.0,8
231200,9.0,8
231300,4.0,8
231400,8.0,8
231500,6.0,8
231600,7.0,8
231700,3.0,8
231800,3.0,8
232000,2.0,8
232100,5.0,8
232200,4.0,8
232300,7.0,8
232400,1.0,8
232500,1.0,8
232600,1.0,8
232700,1.0,8
232800,6.0,8
232900,4.0,8
233000,6.0,8
233100,9.0,8
233200,8.0,8
233300,10.0,8
233400,4.0,8
233500,6.0,8
233600,9.0,8
233700,8.0,8
233800,6.0,8
234000,6.0,8
234100,7.0,8
234200,9.0,8
234300,10.0,8
234400,6.0,8
234500,7.0,8
234600,5.0,8
234700,9.0,8
234800,5.0,8
234900,8.0,8
235000,10.0,8
235100,5.0,8
235200,10.0,8
235300,9.0,8
235400,10.0,8
235500,9.0,8
235600,10.0,8
235700,7.0,8
235800,10.0,8
235900,9.0,8
236000,4.0,8
236300,9.0,9
236400,3.0,9
236500,9.0,9
236600,3.0,9
236700,7.0,9
236800,4.0,9
236900,1.0,9
237000,5.0,9
237100,6.0,9
237200,3.0,9
237300,4.0,9
237400,2.0,9
237500,3.0,9
237600,4.0,9
237700,3.0,9
237800,7.0,9
237900,1.0,9
238000,3.0,9
238100,2.0,9
238300,6.0,9
238400,7.0,9
238500,3.0,9
238600,4.0,9
238800,2.0,9
239000,2.0,9
239100,8.0,9
239200,9.0,9
239300,9.0,9
239400,1.0,9
239500,5.0,9
239600,1.0,9
239800,2.0,9
240000,1.0,9
240100,1.0,9
240200,2.0,9
240300,9.0,9
240400,1.0,9
240500,10.0,9
240600,1.0,9
240700,10.0,9
240800,10.0,9
240900,5.0,9
241000,10.0,9
241100,10.0,9
241200,2.0,9
241300,1.0,9
241400,4.0,9
241500,4.0,9
241600,6.0,9
241700,8.0,9
241800,2.0,9
241900,7.0,9
242000,7.0,9
242100,5.0,9
242200,7.0,9
242300,1.0,9
242400,7.0,9
242500,7.0,9
242600,7.0,9
242700,3.0,9
242800,1.0,9
242900,6.0,9
243000,4.0,9
243200,2.0,9
243300,2.0,9
243400,1.0,9
243500,1.0,9
243600,1.0,9
243700,5.0,9
243800,1.0,9
244000,5.0,9
244100,10.0,9
244200,4.0,9
244300,5.0,9
244400,6.0,9
244500,7.0,9
244600,10.0,9
244700,6.0,9
244800,2.0,9
244900,4.0,9
245000,6.0,9
245100,7.0,9
245200,9.0,9
245300,2.0,9
245400,10.0,9
245500,4.0,9
245600,7.0,9
245800,10.0,9
245900,10.0,9
246000,7.0,9
246100,4.0,9
246200,10.0,9
246300,2.0,9
246400,10.0,9
246600,8.0,9
246700,1.0,9
246800,3.0,9
246900,7.0,9
247000,8.0,9
247100,8.0,9
247200,1.0,9
247300,8.0,9
247400,8.0,9
247500,1.0,9
247600,5.0,9
247700,7.0,9
247800,1.0,9
247900,5.0,9
248000,2.0,9
248100,1.0,9
248300,1.0,9
248400,3.0,9
248500,1.0,9
248600,3.0,9
248700,4.0,9
248800,1.0,9
248900,7.0,9
249000,2.0,9
249100,1.0,9
249200,5.0,9
249300,1.0,9
249400,3.0,9
249500,4.0,9
249600,1.0,9
249700,3.0,9
249800,1.0,9
249900,1.0,9
250000,1.0,9
250100,4.0,9
250200,1.0,9
250300,1.0,9
250400,2.0,9
250500,2.0,9
250600,1.0,9
250700,2.0,9
250800,3.0,9
250900,4.0,9
251000,5.0,9
251100,4.0,9
251200,6.0,9
251300,6.0,9
251400,5.0,9
251500,2.0,9
251600,6.0,9
251700,6.0,9
251800,3.0,9
251900,3.0,9
252000,8.0,9
252100,4.0,9
252200,4.0,9
252300,2.0,9
252400,6.0,9
252500,4.0,9
252600,2.0,9
252700,3.0,9
252800,4.0,9
252900,6.0,9
253000,7.0,9
253100,2.0,9
253200,2.0,9
253300,8.0,9
253400,4.0,9
253500,6.0,9
253600,9.0,9
253700,7.0,9
253800,2.0,9
253900,2.0,9
254000,2.0,9
254100,6.0,9
254200,8.0,9
254300,5.0,9
254400,6.0,9
254500,3.0,9
254600,1.0,9
254700,3.0,9
254800,2.0,9
254900,5.0,9
255100,8.0,9
255200,1.0,9
255300,3.0,9
255400,2.0,9
255500,1.0,9
255600,7.0,9
255700,7.0,9
255800,6.0,9
255900,9.0,9
256000,7.0,9
256100,8.0,9
256200,7.0,9
256300,7.0,9
256400,8.0,9
256500,5.0,9
256600,2.0,9
256700,10.0,9
256800,2.0,9
256900,6.0,9
257000,3.0,9
257100,6.0,9
257200,2.0,9
257300,2.0,9
257400,4.0,9
257500,7.0,9
257700,3.0,9
257800,3.0,9
257900,5.0,9
300300,6.0,16
300500,6.0,16
300600,6.0,16
300700,5.0,16
300800,5.0,16
300900,5.0,16
301000,6.0,16
301100,7.0,16
301200,8.0,16
301300,6.0,16
301500,5.0,16
301600,2.0,16
301800,5.0,16
302100,3.0,16
302200,5.0,16
302300,2.0,16
302400,8.0,16
302500,3.0,16
302600,2.0,16
302700,3.0,16
302800,9.0,16
302900,6.0,16
303000,2.0,16
303100,3.0,16
303200,1.0,16
303300,5.0,16
303400,2.0,16
303500,1.0,16
303600,2.0,17
303800,3.0,17
304100,8.0,17
304200,5.0,17
304300,3.0,17
304400,6.0,17
304500,7.0,17
304600,3.0,17
304700,8.0,17
304800,7.0,17
304900,9.0,17
305000,6.0,17
305100,4.0,17
305200,9.0,17
305300,4.0,17
305400,6.0,17
305500,5.0,17
305600,8.0,17
305800,4.0,17
305900,7.0,17
306000,4.0,17
306100,1.0,17
306200,5.0,17
306300,6.0,18
306500,4.0,18
306600,2.0,18
306700,5.0,18
306800,8.0,18
306900,2.0,18
307000,4.0,18
307100,3.0,18
307200,1.0,18
307300,2.0,18
307400,5.0,18
307500,4.0,18
307600,6.0,18
307700,8.0,18
307800,6.0,18
307900,8.0,18
308000,8.0,18
308100,7.0,18
308200,7.0,18
308300,2.0,18
308400,6.0,18
308600,3.0,18
