area,latitude,longitude
187100,-38.28355305,175.06938344
187200,-38.5422892,175.02022119
187300,-38.33639894,175.16019027
187400,-38.33422954,175.1750142
187500,-38.45839327,175.27657366
187700,-38.51214377,175.78064218
187800,-38.52137003,176.09477746
187900,-38.87191067,175.73166979
188000,-38.65445471,175.97695924
188200,-38.68443198,176.26217734
188300,-38.70123976,176.01956806
188400,-38.68168999,176.05272614
188500,-38.67360248,176.07424697
188700,-38.6735574,176.11357314
188800,-38.68453849,176.08132064
188900,-38.68673952,176.09245067
189000,-38.69357961,176.0859815
189100,-38.69976213,176.09915047
189200,-38.71039633,176.09930075
189300,-38.71708174,176.08828545
189400,-38.73418064,176.07918334
189600,-38.74070686,176.15425145
189700,-38.99284557,175.8060691
190200,-37.42807039,175.9556145
190300,-37.519043,175.89229314
190400,-37.44455774,175.95917327
190500,-37.61688515,175.89393796
190600,-37.55213437,175.92548294
190900,-37.70302699,175.96812271
191000,-37.64305079,176.03430624
191100,-37.655611,176.01466007
191200,-37.68313647,176.068803
191300,-37.77273465,176.01540781
191400,-37.88590858,176.02098429
191600,-37.78247813,176.1993878
191700,-37.87712037,176.14775568
191800,-37.80633865,176.27291154
191900,-37.7881496,176.3108254
192000,-37.85543327,176.33462575
192100,-37.7898618,176.32555033
192300,-37.75952859,176.46345044
192400,-37.78609613,176.51756887
192500,-37.89305456,176.49614474
192600,-37.66586707,176.12333377
192800,-37.63000366,176.1731587
192900,-37.66755205,176.13245336
193000,-37.69058759,176.10753065
193100,-37.67938337,176.1292392
193200,-37.66946351,176.14903993
193300,-37.67691846,176.1443713
193400,-37.69077076,176.13051689
193500,-37.7065879,176.11498118
193600,-37.68730456,176.14143485
193700,-37.64901161,176.19758038
193800,-37.67947411,176.16704264
193900,-37.66423891,176.19448097
194000,-37.69516132,176.14345446
194100,-37.70366196,176.13076274
194200,-37.72532991,176.1067655
194300,-37.65870852,176.20775005
194400,-37.70320853,176.14700706
194500,-37.75604256,176.09165915
194600,-37.71588753,176.13556748
194700,-37.72765679,176.12518714
194800,-37.7084259,176.15681961
194900,-37.67104486,176.21679849
195000,-37.69819147,176.19717384
195100,-37.75427199,176.1087299
195200,-37.72989507,176.13764569
195300,-37.72182391,176.14635129
195400,-37.74119093,176.12802796
195500,-37.67254346,176.2257874
195600,-37.74928473,176.12244347
195700,-37.73216784,176.15064855
195800,-37.67469413,176.23384817
195900,-37.7183264,176.17894876
196000,-37.7321134,176.16271025
196100,-37.74799664,176.14236026
196200,-37.68431126,176.24299636
196300,-37.73959423,176.17669023
196400,-37.74926894,176.16160301
196500,-37.70754878,176.24959109
196600,-37.73107452,176.18502146
196700,-37.72030061,176.20928394
196800,-37.69041269,176.25492252
196900,-37.73637425,176.19743547
197000,-37.69284374,176.26278414
197100,-37.69834431,176.27636175
197200,-37.7028057,176.29535171
197300,-37.71059488,176.29681832
197400,-37.70757761,176.31110176
197500,-37.71900661,176.34389997
197600,-37.73298319,176.35904418
197700,-38.01697507,176.12931898
197900,-38.14347351,176.15742503
198000,-38.03031339,176.2509833
198100,-38.06283551,176.21388396
198200,-38.07907701,176.20454377
198400,-38.09960701,176.21341758
198500,-38.11866039,176.21668892
198600,-38.12832953,176.20626181
198700,-38.05706156,176.45805764
198800,-38.10882745,176.2369396
198900,-38.11485248,176.22903822
199000,-38.12374566,176.22097675
199100,-38.13486467,176.2054859
199200,-38.14208034,176.20726579
199400,-38.12154784,176.23823269
199500,-38.13572124,176.2179799
199600,-38.14973623,176.20917803
199700,-38.14335034,176.22315121
199800,-38.13474084,176.24242829
199900,-38.14249953,176.23214439
200000,-38.15440452,176.2216546
200200,-38.14990065,176.23465785
200300,-38.1428939,176.2445082
200400,-38.1090756,176.3811602
200500,-38.14741329,176.24606798
200600,-38.16331896,176.22771944
200700,-38.15887997,176.23593548
200800,-38.15361117,176.24756632
200900,-38.1297808,176.29121456
201000,-38.11483901,176.32505172
201200,-38.15219623,176.25754054
201300,-38.16412016,176.25173097
201400,-38.13784197,176.29814382
201500,-38.14940578,176.28895362
201600,-38.3265856,176.19950049
201700,-38.25763217,176.45697211
201800,-38.43903714,176.350431
201900,-37.94949244,176.66958968
202000,-37.93846406,176.80043803
202100,-38.04128543,176.74994854
202200,-37.97371477,176.82908816
202300,-37.98393622,176.90843855
202400,-38.05714893,176.80257253
202500,-37.94356079,176.96233432
202600,-37.96340527,176.96559282
202700,-37.95356587,176.99232736
202800,-37.96899468,176.97770942
202900,-37.96801926,176.98635382
203000,-37.96128021,177.0023902
203100,-38.01390602,177.03388212
203200,-37.98331205,177.11508716
203400,-38.59477922,176.83164675
203500,-38.28225314,177.02173872
203600,-38.45393088,176.70638789
203700,-38.09544004,176.67500308
203900,-38.09034331,176.70935902
204100,-38.04672615,177.2017177
204200,-37.85617143,177.78942872
204300,-38.01656194,177.25965904
204400,-38.0131159,177.28682473
204500,-38.02845968,177.3479923
204700,-37.68457303,178.25309634
204800,-38.34127548,177.70733968
