oareas,f A,f B,f C,f D,f E,f F,f G,f H,f I,f J,f K,f L,f M,f N,f O,f P,f Q,f R,f S,m A,m B,m C,m D,m E,m F,m G,m H,m I,m J,m K,m L,m M,m N,m O,m P,m Q,m R,m S
308600,19,0,7,1,5,1,0,23,0,0,0,4,0,0,0,62,3,2,4,43,0,13,6,29,2,0,11,0,0,0,4,0,0,0,14,0,1,4
308800,50,0,1,0,19,0,4,104,9,0,0,2,3,5,0,12,0,2,0,103,3,2,0,113,0,3,63,25,0,0,2,4,6,0,4,0,2,0
308900,16,0,12,7,9,9,175,174,35,6,7,2,16,7,35,124,109,13,25,32,0,29,17,53,19,133,106,97,6,5,2,18,9,34,43,23,12,23
309000,35,0,0,0,1,0,7,17,1,0,0,0,0,4,0,22,0,0,0,69,0,0,0,7,0,5,8,3,0,0,0,0,4,0,6,0,0,0
309200,1,1,50,1,41,14,199,123,17,37,10,3,66,62,70,140,249,46,19,2,7,132,10,267,27,137,58,52,46,10,4,60,63,63,41,44,44,29
309300,14,3,11,0,2,0,7,20,17,0,0,0,8,2,0,0,71,2,0,27,21,30,0,14,0,5,9,52,0,0,0,8,2,0,0,12,2,0
309400,37,1,2,8,7,35,20,38,7,0,0,1,0,0,2,97,47,12,3,74,10,6,47,48,69,14,17,20,0,0,2,0,0,1,28,8,12,5
309500,11,50,0,0,1,0,0,8,0,0,0,0,11,31,0,9,0,0,0,23,327,0,0,7,0,0,4,0,0,0,0,10,31,0,2,0,0,0
309600,28,0,0,0,0,0,0,47,0,0,0,0,0,2,0,0,0,14,0,55,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,14,0
309700,70,22,9,0,15,8,7,33,0,0,0,0,0,0,0,6,0,0,0,139,145,25,0,103,16,5,15,0,0,0,0,0,0,0,1,0,0,0
309800,4,8,1,0,5,0,53,57,1,1,0,3,2,0,6,43,47,4,0,8,54,3,0,36,0,37,26,3,2,0,4,2,0,5,12,8,4,0
309900,33,2,4,1,2,0,4,17,0,0,0,0,0,0,0,9,0,2,22,65,14,12,10,14,0,3,8,0,0,0,0,0,0,0,2,0,2,33
310000,2,0,0,0,0,0,2,5,2,0,0,3,0,0,18,16,0,0,0,5,0,0,0,0,0,1,2,6,0,0,4,0,0,16,4,0,0,0
310100,2,0,9,0,2,0,2,8,1,0,0,0,0,0,0,32,10,0,3,5,0,25,0,14,0,1,4,3,0,0,0,0,0,0,9,1,0,5
310200,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,22,0,0,3,0,0,0,0,48,0,5,0,0,0,0,0,0,0,0,6,0,0,5
310300,25,1,111,9,60,47,564,247,60,75,51,18,132,31,206,302,1367,46,55,51,7,294,53,388,93,389,116,177,92,47,23,120,31,186,89,245,44,84
310400,0,1,0,0,6,0,2,17,0,0,0,0,0,2,0,12,10,0,10,0,10,0,0,42,0,1,8,0,0,0,0,0,2,0,3,1,0,15
310500,2,0,4,0,3,0,4,20,1,0,0,0,0,2,0,0,7,2,3,5,0,12,0,21,0,3,9,3,0,0,0,0,2,0,0,1,2,5
310600,0,0,8,0,37,18,4,20,2,0,2,0,6,17,0,27,0,0,3,0,0,21,0,242,37,3,9,6,0,2,0,6,17,0,8,0,0,5
310700,8,4,50,0,9,2,0,38,2,0,0,0,6,8,51,19,0,17,6,16,30,132,0,60,5,0,17,6,0,0,0,6,8,46,5,0,17,10
310800,8,1,8,0,5,5,2,0,26,0,0,1,2,0,0,3,0,0,5,16,7,21,0,36,11,1,0,78,0,0,2,2,0,0,0,0,0,7
310900,8,1,88,0,4,0,2,2,30,0,0,0,0,2,6,16,0,0,6,16,7,233,0,30,0,1,1,88,0,0,0,0,2,5,4,0,0,10
311000,51,1,15,0,0,0,0,2,5,0,0,0,4,0,0,21,0,0,5,102,10,40,0,0,0,0,1,15,0,0,0,4,0,0,6,0,0,7
311100,35,0,0,0,0,0,12,17,0,0,0,0,0,0,0,9,3,0,0,69,3,0,0,3,0,8,8,0,0,0,0,0,0,0,2,0,0,0
311300,11,0,0,0,1,1,33,162,12,0,0,1,15,24,2,9,3,32,1,23,3,0,3,10,2,22,76,36,0,0,2,14,24,1,2,0,31,2
311400,28,4,1,1,4,0,0,33,10,1,0,0,8,0,4,9,0,0,3,55,30,3,7,30,0,0,15,31,2,0,0,8,0,3,2,0,0,5
311500,2,0,227,0,20,1,240,190,19,5,4,9,22,8,44,173,178,99,27,5,0,600,0,133,2,166,89,57,6,4,11,20,8,39,51,31,96,42
311700,14,3,73,1,24,4,12,33,5,0,0,0,4,8,2,16,0,10,22,27,21,193,10,157,8,8,15,15,0,0,0,4,8,1,4,0,10,33
311800,14,6,0,0,0,0,4,5,0,0,0,0,0,0,0,9,0,2,0,27,42,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,2,0
311900,56,0,3,0,0,1,0,14,2,0,0,3,0,8,0,37,3,0,5,111,0,9,0,3,2,0,6,6,0,0,4,0,8,0,11,0,0,7
312000,44,0,1,0,1,0,0,2,3,0,2,3,0,0,0,6,0,0,1,88,0,3,0,10,0,0,1,9,0,2,4,0,0,0,1,0,0,2
312200,262,0,18,3,10,8,19,52,9,10,0,4,29,1,2,88,17,0,13,536,0,44,8,59,16,15,31,25,10,0,4,33,2,2,30,3,0,11
312300,4,0,4,0,3,2,59,226,2,2,0,31,13,7,0,15,17,79,13,8,0,11,0,17,5,45,138,6,2,0,32,15,9,0,5,3,74,11
312400,105,0,6,0,1,0,9,15,4,0,0,2,7,0,0,57,34,0,2,216,0,14,0,10,0,7,9,12,0,0,2,9,0,0,19,7,0,1
312500,128,0,22,0,2,1,23,26,5,0,0,2,5,7,4,62,46,0,2,263,0,54,0,14,2,18,15,15,0,0,2,6,9,4,21,10,0,1
312600,16,0,0,0,10,0,2,0,0,0,0,2,3,3,0,21,3,0,8,32,0,0,0,59,0,1,0,0,0,0,2,4,4,0,7,0,0,7
312700,115,0,30,12,3,16,7,26,3,0,2,4,9,1,0,31,3,2,18,235,0,74,29,17,32,5,15,9,0,1,4,11,2,0,10,0,2,16
